Transit.land ID,TransitFeeds ID,mdb_source_id,data_type,entity_type,provider,name,note,static_reference,direct_download,authentication_type,authentication_info,api_key_parameter_name,license
f-exo~reseaudetransportmetropolitain~rt,agence-metropolitaine-de-transport/127,,gtfs_rt,vp,Exo,Exo Trains,,748,https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?token={API_KEY},3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
f-exo~reseaudetransportmetropolitain~rt,agence-metropolitaine-de-transport/126,,gtfs_rt,sa,Exo,Exo Trains,,748,https://opendata.exo.quebec/ServiceGTFSR/Alert.pb?token={API_KEY},3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
f-exo~reseaudetransportmetropolitain~rt,agence-metropolitaine-de-transport/125,,gtfs_rt,tu,Exo,Exo Trains,,748,https://opendata.exo.quebec/ServiceGTFSR/TripUpdate.pb?token={API_KEY},3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,tu,Exo Laurentides,,,744,https://opendata.exo.quebec/ServiceGTFSR/TripUpdate.pb?token={API_KEY}&agency=CITLA,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,sa,Exo Laurentides,,,744,https://opendata.exo.quebec/ServiceGTFSR/Alert.pb?token={API_KEY}&agency=CITLA,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,vp,Exo Laurentides,,,744,https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?token={API_KEY}&agency=CITLA,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,tu,Exo L'Assomption,,,755,https://opendata.exo.quebec/ServiceGTFSR/TripUpdate.pb?token={API_KEY}&agency=MRCLASSO,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,sa,Exo L'Assomption,,,755,https://opendata.exo.quebec/ServiceGTFSR/Alert.pb?token={API_KEY}&agency=MRCLASSO,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,vp,Exo L'Assomption,,,755,https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?token={API_KEY}&agency=MRCLASSO,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,tu,Exo Les Moulins,,,754,https://opendata.exo.quebec/ServiceGTFSR/TripUpdate.pb?token={API_KEY}&agency=MRCLM,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,sa,Exo Les Moulins,,,754,https://opendata.exo.quebec/ServiceGTFSR/Alert.pb?token={API_KEY}&agency=MRCLM,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,vp,Exo Les Moulins,,,754,https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?token={API_KEY}&agency=MRCLM,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,tu,Exo Vallée du Richelieu,,,752,https://opendata.exo.quebec/ServiceGTFSR/TripUpdate.pb?token={API_KEY}&agency=CITVR,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,sa,Exo Vallée du Richelieu,,,752,https://opendata.exo.quebec/ServiceGTFSR/Alert.pb?token={API_KEY}&agency=CITVR,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,vp,Exo Vallée du Richelieu,,,752,https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?token={API_KEY}&agency=CITVR,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,tu,Exo Roussillon,,,747,https://opendata.exo.quebec/ServiceGTFSR/TripUpdate.pb?token={API_KEY}&agency=CITROUS,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,sa,Exo Roussillon,,,747,https://opendata.exo.quebec/ServiceGTFSR/Alert.pb?token={API_KEY}&agency=CITROUS,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,vp,Exo Roussillon,,,747,https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?token={API_KEY}&agency=CITROUS,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,tu,Exo La Presqu'île,,,743,https://opendata.exo.quebec/ServiceGTFSR/TripUpdate.pb?token={API_KEY}&agency=CITPI,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,sa,Exo La Presqu'île,,,743,https://opendata.exo.quebec/ServiceGTFSR/Alert.pb?token={API_KEY}&agency=CITPI,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,vp,Exo La Presqu'île,,,743,https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?token={API_KEY}&agency=CITPI,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
,,,gtfs_rt,tu,Exo Sud-ouest,,,742,https://opendata.exo.quebec/ServiceGTFSR/TripUpdate.pb?token={API_KEY}&agency=CITSO,3,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
